,engNum,engVerse,ipqNum,ipqVerse
44,rut.3.9,"“Who are you?” he asked. “Sir, I am Ruth,” she answered, “and you are the relative who is supposed to take care of me. So spread the edge of your cover over me.”",rut.3.9,"“Kiñailvich?” apiġigaa. “Ruth uvaŋa, aŋuun,” Ruth-gum kiugaa. “Nanmiñiq iḷagikapkiñ, qaunagiruksraġigiŋma. Tavraasii katinŋa.”"
45,rut.3.10,"Boaz replied: The  Lord  bless you! This shows how truly loyal you are to your family. You could have looked for a younger man, either rich or poor, but you didn't. ",rut.3.10,"“Atanġum quviasuusiqsimaaġlisin,” Boaz uqallaktuq. “Qiñiqtitkiñ aŋayuqaaġiiñi piqpakkun akkupak piḷġusikkun aŋiłhaaqługu unnii piḷġusiġñiñ aakaruaġnun. Ivaqłiayumiñaġaluaqhutin nukatpiamik umialguruamik naagga piiḷḷiuġaluaqtuamik tainna ivaqłiaŋiññiqsutin. "
46,rut.3.11,"Don't worry, I'll do what you have asked. You are respected by everyone in town.",rut.3.11,"Isumaalugnak, Ruth. Kamaginiaġikpiñ; iñuich maani iluqaġmik iḷisimarut aġnaq ilvich iñugiksilaaġnik. "
47,rut.3.12," It's true that I am one of the relatives who is supposed to take care of you, but there is someone who is an even closer relative. ",rut.3.12,"Iḷumun ittuq nanmiñiq iḷautilaamnik iliŋnun suli qaunagiruksraġitilaaġnik uvaŋa, aglaan imma aŋun ittuq iliŋnun iḷaułhaaqtuaq uvamniñ. "
48,rut.3.13,"Stay here until morning, then I will find out if he is willing to look after you. If he isn't, I promise by the living God to do it myself. Now go back to sleep until morning.",rut.3.13,Tavraniittin unnuapak aasii uvlaami iḷitchuġisaġniaqtuguk ilaanun qaunagisugmagaaqpich. Tainna pisukpan suŋitchuq; pisuŋitpan aasii sivuġaani iñuuruam Atanġum unniqsuqłiiruŋa qaunaganiaġniḷutin. Nallaġutin tavraniittin uvlaaġataqtillugu.”
49,rut.3.14,"Ruth lay down again, but she got up before daylight, because Boaz did not want anyone to know she had been there. ",rut.3.14,"Tavraasii nalaŋaruq isigaŋiññi, aglaan makinŋaruq qaummaġiksianiŋaiñŋaan tautugnaqsiḷuni qanukkii Boaz-gum iḷitchuġitquŋił̣ł̣ugich iñuich tavraniinŋatilaaŋanik. "
50,rut.3.15,"Then he told her to spread out her cape. And he filled it with grain and placed it on her shoulder. When Ruth got back to town, ",rut.3.15,"Boaz-gum uqallautigaa, “Qaliġuan piiġḷugu mauŋa isivirruŋ.” Kamagiŋagaa aasii Boaz kuvisiŋaruq palauvaksramik tikitqayaqługu malġukipiaq qulitun uqumaisilaaq aasii ikayuŋagaa kiviŋmauŋ tuiqqaagmiñun. Tavra utiŋaruq inimun nanmakługu. "
51,rut.3.16,"Naomi asked her  what had happened, and Ruth told her everything. ",rut.3.16,"Tikiñman aimaaġvigmiñun aakaruaŋata apiqsruġaa, “Qanuq pivich, paniiŋ?” Ruth-gum quliaqtuaġutiŋagaa Boaz-gum surapayaaŋiññik. "
52,rut.3.17,"She also said, “Boaz gave me this grain, because he didn't want me to come back without something for you.”",rut.3.17,"Ruth uqallavsaaqtuq, “Uqallautiraani utiġniaŋiññivḷuŋa iliŋnun tigumiagiḷaaġluŋa, tavraasii ukuniŋa palauvaksranik aitchuqłuŋa.”"
53,rut.3.18,"Naomi replied, “Just be patient and don't worry about what will happen. He won't rest until everything is settled today!”",rut.3.18,"Naomi-m uqallautigaa, “Aasii qiñuiġutin utaqqiiñ, Ruth, tautugataġlugu qanuq taamna piñiaqtilaaŋa. Boaz aġiuniaŋitchuq uvlupak taamna natqikkaluaġnagu.”"
54,rut.4.1,"In the meanwhile, Boaz had gone to the meeting place at the town gate and was sitting there when the other close relative came by. So Boaz invited him to come over and sit down, and he did. ",rut.4.1,"Boaz katirviannuŋaruq upkuaqpaum pianiittuamun aasii aquviłłuni. Elimelech-gum iḷaŋa, Boaz-gum uqallausiġiŋaraŋa, tamaunnaaġman, Boaz-gum ququulagaa, “Qaiñ, avilaitqatiiŋ, aquvittin.” Taimma ullakługu aquvittuq. "
55,rut.4.2,"Then Boaz got ten of the town leaders and also asked them to sit down. After they had sat down, ",rut.4.2,"Boaz qaitqurivḷuni qulinik nunaaqqim aullarriŋiññik aquvitqummigaich. Aquvinmata, "
56,rut.4.3,he said to the man: Naomi has come back from Moab and is selling the land that belonged to her husband Elimelech. ,rut.4.3,"uqallautigaa taamna nanmiñiq iḷani, “Naomi utiġami Moab-miñ tunisukkaa nunaŋa iḷamnuk Elimelech-gum, "
57,rut.4.4,"I'm telling you about this, since you are his closest relative and have the right to buy the property. If you want it, you can buy it now. These ten men and the others standing here can be witnesses. But if you don't want the property, let me know, because I am next in line. The man replied, “I'll buy it!”",rut.4.4,"iḷisimaruksrausugnaqtutin. Pigisukkupku tauqsiġuŋ ukua aŋutit takkuanni. Aglaan pigisuŋitkupku, uqallagiñ, qanukkii ilvich sivulliulutin piviqaqtutin tauqsiġukkupku taimaasiiḷi uvamnun tulluni.” Aŋun uqallaktuq, “Tauqsiġñiaġiga.”"
58,rut.4.5,"“If you do buy it from Naomi,” Boaz told him, “you must also marry Ruth. Then if you have a son by her, the property will stay in the family of Ruth's first husband.”",rut.4.5,"Boaz uqallaktuq, “Kiami, tauqsiġupku nunaŋa Naomi-miñ tavra taputiniaġiñ Ruth, Moab-miu uiḷgaġniq, taamna nuna taiptuma aŋutim tuquŋaruam nanmiñiq iḷagiraŋiññiñ piiŋitchumauq.”"
59,rut.4.6,"The man answered, “If that's the case, I don't want to buy it! That would make problems with the property I already own.  You may buy it yourself, because I cannot.”",rut.4.6,"Aŋutim kiugaa, “Tainnainniaqpan qaitkiga iliŋnun tauqsiḷḷasiḷugu nuna, qanukkii uvaŋa miqłiqtuġma piññaktaaġiyumiñaiññiaġaat. Ilvich tauqsiġuŋ; uvaŋa pisuŋitkiga.”"
60,rut.4.7," To make a sale legal in those days, one person would take off a sandal and give it to the other. ",rut.4.7,"Taimani uvluni, tauqsiqsuaq naagga simmiqsuak sumik suġauttamik nalunaiqsaqługu, pitqusiġiŋagaa tuniriruam mattaqługik aluġutigni qaitchuugaik tauqsiqsuamun. Tainnaġamik Israel-miuguruat nalunaiġaat taamna piraqtik itqanaiqsilaaŋanik."
61,rut.4.8,"So after the man had agreed to let Boaz buy the property, he took off one of his sandals and handed it to Boaz.",rut.4.8,"Tavraasii aŋutim uqallautigamiuŋ Boaz, “Ilvich tauqsiġuŋ,” mattaŋagaa aluġutini aasii qaił̣ł̣ugu Boaz-mun. "
62,rut.4.9,"Boaz told the town leaders and everyone else: All of you are witnesses that today I have bought from Naomi the property that belonged to Elimelech and his two sons, Chilion and Mahlon. ",rut.4.9,"Tavra Boaz-gum uqallautiŋagai aullarrich allallu tavraniittuat, “Iluqasi qiñiqtusi uvlupak tauqsiqapki Naomi-miñ iluqaisa Elimelech-guvlu iġñiŋiksa Chilion-guvlu Mahlon-guvlu suġauttapayaaŋich. "
63,rut.4.10," You are also witnesses that I have agreed to marry Mahlon's widow Ruth, the Moabite woman. This will keep the property in his family's name, and he will be remembered in this town.",rut.4.10,"Aasiisuli Ruth, Moabite-guruaq, Mahlon-gum nuliakkaluaŋa, tuvaaqatiliutiniaġiga uvaŋa. Tainnaitpan suġauttat taaptuma tuquŋaruam iḷaŋiñiinniaqtut, kiŋuniġiich nauniaqtut suli aimaaġviqaġutik taimuŋa. Ilivsi iḷisimaraurusi taaptumuŋa uvlupak.”"
64,rut.4.11," The town leaders and the others standing there said: We are witnesses to this. And we pray that the  Lord  will give your wife many children, just as he did Leah and Rachel, the wives of Jacob. May you be a rich man in the tribe of Ephrath and an important man in Bethlehem. ",rut.4.11,"Aullarriḷḷu allallu tavraniittuat uqallaktut, “Ii, iḷisimarauniaqtugut. Atanġum savagliuŋ tuvaaqatin piusimisun Rachel-mullu Leah-mullu, iñugiaktuanik miqłiqsiruaktun Jacob-mun. Umiallaksaqtutin kiŋuniiŋiññi Ephrath-gum suli qutchigutin iñuŋiññiñ Bethlehem."
65,rut.4.12," May the children you have by this young woman make your family as famous as the family of Perez,  the son of Tamar and Judah.",rut.4.12,"Miqłiqtut aitchuutiginiaqtaŋich Atanġum taaptumuuna aġnakun iḷisaġaasi aimaaġviqatauruatun Perez-mun, iġñiġuruaq Judah-mullu Tamar-mullu.”"
66,rut.4.13,"Boaz married Ruth, and the  Lord  blessed her with a son. ",rut.4.13,Tavraasii Boaz-gum aggisiŋagaa Ruth tuvaaqasiutivlugu. Atanġum ikayuŋagaa aasii siŋaiyauŋaruq aasii iġñiqaqłuni.
67,rut.4.14,"After his birth, the women said to Naomi: Praise the  Lord ! Today he has given you a grandson to take care of you. We pray that the boy will grow up to be famous everywhere in Israel. ",rut.4.14,"Aġnat uqallautiŋagaat Naomi, “Nanġaġli Ataniq! Ilaan tutaaluksritkaatin aŋutaiyaamik uvlupak qaunaksriksraġnik. Taamna aŋutaiyaaq qutchikkumauq Israel-mi! "
68,rut.4.15,"He will  make you happy and take care of you in your old age, because he is the son of your daughter-in-law. And she loves you more than seven sons of your own would love you.",rut.4.15,"Paniksrakpich piqpagigaatin, suli piutiłhaaġaatin tallimat malġugniñ iġñiġutigniñ. Uvvasuli tutaaluksriñmigaatiŋ nutaqsaqtiksraŋanik iñuggutikpich suli utuqqaliguvich qaunaksriksraġnik.” "
69,rut.4.16,Naomi loved the boy and took good care of him. ,rut.4.16,"Naomi-m tiguŋagaa miqłiqtuuraq, iqimmalaaqługu, suli ilaan qaunagiŋagaa."
70,rut.4.17,"The neighborhood women named him Obed, but they called him “Naomi's Boy.” When Obed grew up he had a son named Jesse, who later became the father of King David. ",rut.4.17,"Aġnaŋisa taaptuma inaaqqim atchiŋagaat taamna nukatpiaġruk Obed-mik. Uqallautiŋagaich iñupayaat inna, “Aŋutaiyaaq aniruq Naomi-mun!” Obed aapaġuŋaruq Jesse-mun, aapauruamun David-mun."
71,est.1.3,"During the third year of his rule, Xerxes gave a big dinner for all his officials and officers. The governors and leaders of the provinces were also invited, and even the commanders of the Persian and Median armies came. ",est.1.3,"Piŋayuanni ukiut umialguvianni niqinaqiutiŋagai atanaurani suli piraksriqsuqtiŋit qaukłiŋi umialgum. Aŋuyaktiŋich Persia-mlu, Media-mlu tavraniinŋammiut, tainna suli kavanauruat suli umialiŋnat kaŋiqaqtuat nunaŋiññi. "
72,est.1.4,For 180 days he showed off his wealth and spent a lot of money to impress his guests with the greatness of his kingdom.,est.1.4,Naalġataqługi itchaksrani tatqich piraksriqsuqtiŋit manivanŋagai suġaliñi atanniqsuqtamiñi irvigmiñi qanutun qiññaġiksigiruat suli aliuġnaqtuat.
73,est.1.5,"At the end of this time, King Xerxes gave another dinner and invited everyone in the city of Susa, no matter who they were. The eating and drinking lasted seven days in the beautiful palace gardens. ",est.1.5,"Taaptuma aquagun, umialgum niqinaqiutiqpaŋagai iluqaisa iñuich iniqpaŋani Susa-m, umialgugaluaġmata naakka iḷiappaugaluaġmata atunim. Tallimat malġuk uvlut naalġataqługi niqinaqiqpaŋarut nautchiaqaġviani umialgum igluqpaŋani. "
74,est.1.6,The area was decorated with blue and white cotton curtains tied back with purple linen cords that ran through silver rings fastened to marble columns. Couches of gold and silver rested on pavement that had all kinds of designs made from costly bright-colored stones and marble and mother-of-pearl.,est.1.6,"Umialgum irviata siḷataani qiñiyunaqutiqaŋaruq talukiyaaqaqhuni suŋauraaqtaanik suli qatiqtaanik ukił̣haanik, qiḷiġviqaqhuni tigluuraaqtaanik ukił̣haanik qivliaqtaanik tigummiviqaqhutik maapumik ayagutiligaanik. Aquppiviich savaaguŋaruat manigñik kaviqsuanik suli qatiqtuanik inillaŋagaich siḷataani, natiġutiqaqhuni qatiqtuanik maapunik, kaviqsaanik feldspar-nik, qivliqtuanik mother-of-pearl-nik, suli suŋauraaqtaanik turquoise-nik. "
75,est.1.7,"The guests drank from gold cups, and each cup had a different design. The king was generous ",est.1.7,"Imġutiŋich qallugaurat savaaguŋammiut manigñik kaviqsuaniñ, allakaaġiiḷḷaavlutik, suli iḷaŋaniiqsinŋammigaich umialgum wine-gutimiñik. "
76,est.1.8,"and said to them, “Drink all you want!” Then he told his servants, “Keep their cups full.”",est.1.8,Killiiñŋaruq taaŋŋaq imiġuktuamun; umialgum suli piraksriŋammigai qaunaksriruat kivgani iñupayaaq iḷaŋaniiquvlugu imiġuktuat.
77,est.1.9,"While the men were enjoying themselves, Queen Vashti gave the women a big dinner inside the royal palace.",est.1.9,"Taimmaliasii, umialgum igluqpaŋani tuvaaqataata Vashti-m niqinaqiutiqpaŋagaich aġnat."
78,est.1.10,"By the seventh day, King Xerxes was feeling happy because of so much wine. And he asked his seven personal servants, Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, and Carkas, ",est.1.10,"Uvlut tallimat malġuŋanni niqinaqiruat Umialik imiŋasiuraaqhuni quviatchaŋaruq, tavraasii ququaŋagai tallimat malġuk ilaata nanmiñiq kivgani, Mehuman, Biztha, Harbona, Bigtha, Abagtha, Zethar, suli Carkas. "
79,est.1.11,to bring Queen Vashti to him. The king wanted her to wear her crown and let his people and his officials see how beautiful she was. ,est.1.11,"Piraksriŋagai umialgum qaġġisitquvlugu tuvaaqatini Vashti, niaquġutiqaġlugu. Umialgum tuvaaqataa aġnaġipiaŋaruq, aasii umialgum qiñiyunaqtilaaŋa tuvaaqanmi manivanŋagaa atanauramiñun suli aiyugaaqtamiñun. "
80,est.1.12,"The king's servants told Queen Vashti what he had said, but she refused to go to him, and this made him terribly angry.",est.1.12,"Tavraasii kivgami uqallautimmanni Vashti piraksriutaagun umialgum, kamaksriŋaitchuq. Tavra umialik qinnalipiaġataŋaruq."
