,eng,ipq
23,"A@@ s he is so acti@@ ve@@ , he bro@@ ke his ar@@ m as others have d@@ one.",Iñ@@ unäun@@ aqpa@@ g@@ itáuni talli@@ algitchuq.
24,If you give the dog the di@@ sh he will li@@ ck i@@ t.,A@@ atch@@ u@@ àu@@ pk@@ u alu@@ äni@@ aàaa alli@@ ug@@ aq.
25,The man started to see his relatives when he went to chur@@ ch.,Iñuk tautu@@ äni@@ ag@@ aqsiñ@@ iqsuq iá@@ ami@@ ñik agaayy@@ i@@ aq@@ ami@@ .
26,Putu is ex@@ ha@@ u@@ st@@ ed having worked ver@@ y mu@@ ch.,Putu minà@@ uqtu@@ q sav@@ av@@ aa@@ â@@ ak@@ huni.
27,He saw them as they were really working hard row@@ ing.,Qiñ@@ ià@@ niàai s@@ akuu@@ ll@@ a@@ pi@@ aq@@ hutiä ip@@ ut@@ tu@@ at.
28,Go a@@ hea@@ d and work for food that la@@ st@@ s into e@@ ter@@ na@@ l lif@@ e.,Sakuugutiq@@ aà@@ itchi niqi@@ m@@ un ittu@@ k@@ sr@@ amun i@@ sru@@ itchu@@ amun iñuu@@ âià@@ mun.
29,I also follo@@ wed again when he started to lea@@ ve.,Mal@@ il@@ g@@ it@@ mi@@ uäa@@ p@@ tu@@ uq aull@@ a@@ aqsipman.
30,He began d@@ r@@ in@@ king water.,I@@ mi@@ aqsi@@ áá@@ ak@@ tuq i@@ mià@@ mik.
31,He was s@@ le@@ ep@@ ing with the musi@@ c on.,S@@ iñ@@ gu@@ tigi@@ niàaa atuqtuur@@ aqtu@@ aq.
32,"The m@@ other cau@@ ght the pupp@@ y again, I he@@ ar@@ d.",Ik@@ ni@@ á@@ giññià@@ aa tar@@ ra qipmiur@@ aq.
33,M@@ an do@@ es not li@@ ve only by food.,Iñuk iñuuni@@ aäitchuq niqi@@ âhiñ@@ akun.
34,He kno@@ ws that you ne@@ ed these thing@@ s.,Iáisima@@ ru@@ q i@@ n@@ uq@@ sr@@ aqti@@ laa@@ psit@@ ñik tamat@@ k@@ uni@@ äa.
35,There will also be fa@@ m@@ in@@ e.,It@@ kisip@@ mi@@ uq niàisu@@ än@@ aq.
36,Jesus ea@@ ts to@@ ge@@ ther with his disci@@ ple@@ s.,Jesus nià@@ iq@@ at@@ au@@ niqsuq m@@ al@@ iàu@@ aqti@@ mi@@ ñi.
37,He re@@ ma@@ in@@ ed qui@@ et and didn't sa@@ y a th@@ ing.,N@@ i@@ pa@@ i@@ sa@@ aqtuq uq@@ aä@@ itáuni su@@ mik.
38,How happy you are@@ !,Qanu@@ tun q@@ uvia@@ su@@ k@@ tigi@@ vi@@ ch@@ !
39,Why are you coming to me@@ ?,Suvaata utl@@ auti@@ vich uv@@ aä@@ nun?
40,Don't you have any answ@@ er@@ ?,Kig@@ gutiksra@@ iññ@@ iqpi@@ ch?
41,How can you sp@@ ea@@ k to your bro@@ ther@@ ?,Qanu@@ à@@ uv@@ va uq@@ autr@@ iñ@@ iaà@@ niq@@ pich ani@@ q@@ ati@@ up@@ nun?
42,C@@ ome into my house and st@@ ay a wh@@ il@@ e.,U@@ t@@ l@@ auti@@ iñ tup@@ pam@@ ni itch@@ aqtu@@ aàutin.
43,Get up and come here.,M@@ ak@@ it@@ tin uv@@ uä@@ aàutin.
44,M@@ ay he work in you what is ac@@ cep@@ t@@ able to him.,S@@ av@@ ag@@ li@@ su@@ q i@@ li@@ psit@@ ñ@@ i akuqtu@@ y@@ un@@ aqtuami@@ k iämiñ@@ un.
45,Let that man as@@ k without d@@ ou@@ b@@ t@@ ing.,Taamna iñuk iä@@ iq@@ sruà@@ li ar@@ gu@@ aq@@ qu@@ ta@@ ià@@ á@@ ugu@@ .
46,Re@@ j@@ oice when that happen@@ s@@ !,Q@@ uviatch@@ a@@ piaà@@ itchi tam@@ anna atuu@@ mak@@ pa@@ n.
47,Let no one de@@ ce@@ ive hi@@ m@@ self@@ .,Kiña@@ un@@ ni@@ iñ sag@@ lu@@ qi@@ n@@ ani iämiñ@@ ik@@ .
48,We are not to al@@ low ou@@ r old na@@ t@@ ur@@ e to ru@@ le us.,Aä@@ al@@ ati@@ t@@ nat@@ a k@@ aä@@ ià@@ ru@@ aq@@ tam@@ un.
49,Don't associa@@ te with them in thi@@ s.,Piq@@ a@@ sriqsu@@ uti@@ na@@ sri iliä@@ it@@ ñi.
50,Don't st@@ ri@@ ve to have food that per@@ i@@ s@@ hes.,Sakuugutiq@@ aq@@ a@@ sri niqi@@ mik pi@@ un@@ à@@ iqs@@ aqtu@@ amik.
51,Th@@ in@@ k about what you were when you were called that you s@@ hou@@ ld be be@@ li@@ e@@ ver@@ s.,I@@ srum@@ ma@@ tig@@ isi@@ uä q@@ anu@@ sri@@ uti@@ la@@ aq@@ si tuq@@ â@@ ukk@@ auka@@ psi uk@@ piq@@ sriru@@ at@@ qu@@ plu@@ sri@@ .
52,"When s@@ omeone has li@@ t a la@@ mp@@ , he do@@ e@@ s@@ n't place it under a p@@ o@@ t.",Kisu@@ payaa@@ m ik@@ it@@ n@@ ami@@ uä n@@ ani@@ q iá@@ it@@ á@@ ait@@ k@@ aa ataa@@ n@@ un ut@@ ku@@ si@@ um@@ .
53,If you want to have lif@@ e you will o@@ be@@ y the comm@@ an@@ d@@ s.,Iñ@@ uu@@ âiq@@ aà@@ ukk@@ uvich tupi@@ gi@@ yu@@ mag@@ i@@ tin ti@@ ll@@ isi@@ t.
54,If when you sit down on your g@@ l@@ or@@ i@@ ous th@@ r@@ one to be ru@@ l@@ er.,A@@ q@@ uvit@@ k@@ uvich k@@ am@@ an@@ aqtu@@ ami at@@ anà@@ uvi@@ p@@ ni.
55,"If you only want to@@ , you could hea@@ l me.",P@@ isu@@ k@@ siñ@@ aà@@ uvich mami@@ ti@@ âhiñau@@ g@@ ikma@@ .
56,"On@@ c@@ e again, they called the man who had been b@@ or@@ n bl@@ in@@ d.",Tuq@@ âu@@ l@@ giññià@@ aat aäun ani@@ ma@@ ruaq ay@@ au@@ äa@@ plu@@ ni.
57,He saw Putu lying in bed and having a fever.,Tautuäniàaa Putu nalaruaq uun@@ n@@ aqâuktitluni.
58,"When the sun had already set or, after the sun had set.",Siqiñiq nipianikhuni.
59,The thi@@ e@@ f always com@@ es in or@@ der to ste@@ al@@ .,T@@ ig@@ li@@ äniaq@@ t@@ i tikitch@@ aqtuq tig@@ li@@ gi@@ aqhuni.
60,Pray at all times.,Agaayulusri ataramik.
61,If anyone thinks that he is standing unshakab@@ ly,"Kiñapayaaq isrumaniàumi makitaniáuni payaäaiááuni, "
62,"He didn't come to be served, but to serve.",Quviasrugusri takku piqaqtusri niàiukkamik.
63,S@@ orrow@@ ing in God.,"Aggiäitchuq savautipkaàiaàuni, aglaan savautrityaqhuni."
64,"When one he@@ l@@ p@@ s, one follo@@ ws the la@@ w@@ .",A@@ li@@ anni@@ uqtu@@ ni Agaayyu@@ tik@@ un.
65,Go@@ d is with us.,Mal@@ ià@@ ut@@ aksr@@ ak@@ u@@ aàn@@ aqtuq ika@@ yu@@ i@@ ru@@ ni.
66,"Those people will k@@ ill some of them again, as others have d@@ one before the@@ m.",Agaayyutim iq@@ atigi@@ g@@ aatigut.
67,I have war@@ ned you befor@@ e.,T@@ am@@ at@@ kua tuq@@ ut@@ kisi@@ á@@ g@@ itch@@ a@@ ich iáaä@@ i@@ ch.
68,The wi@@ t@@ ne@@ s@@ s@@ es t@@ old us what they have se@@ en@@ .,Ki@@ l@@ ik@@ ki@@ psi sivu@@ ani.
69,F@@ i@@ r@@ st take a@@ way the l@@ ar@@ ge log from your e@@ y@@ e.,Iáisima@@ r@@ auru@@ at uqauti@@ nià@@ aatigu@@ t tautu@@ k@@ k@@ aà@@ mik@@ nik.
70,"F@@ ollo@@ w me and t@@ ou@@ ch her with your han@@ d@@ s, and she will li@@ ve.",S@@ i@@ vu@@ l@@ li@@ ulug@@ u pi@@ iqsi@@ r@@ ruä qi@@ ru@@ g@@ ra@@ itchi@@ aq ir@@ ip@@ ni@@ ñ.
71,"If it is really you@@ , comm@@ and me to come to you on top of the water.",Mal@@ ig@@ lu@@ äa ak@@ si@@ giaà@@ uä ar@@ g@@ aknik iñuu@@ lu@@ ni@@ a@@ si@@ iñ.
72,C@@ an@@ 't you re@@ me@@ mber when I di@@ vi@@ ded five lo@@ a@@ ves o,I@@ l@@ vi@@ u@@ piaà@@ uvich ti@@ liä@@ äa utl@@ aqu@@ lu@@ tin im@@ à@@ um qaaä@@ agun.
73,Be happy because you have ho@@ pe@@ .@@ f b@@ read@@ ?,It@@ q@@ atla@@ it@@ pi@@ si@@ gik av@@ gu@@ qa@@ pk@@ ich talli@@ ma@@ t q@@ aqqi@@ at@@ ?
74,When the disci@@ ple heard the v@@ oice they bo@@ wed to the g@@ rou@@ n@@ d.,Maliàu@@ aqtit tu@@ sa@@ ak@@ ami@@ t@@ ruä nip@@ i p@@ un@@ niqsu@@ t nun@@ am@@ un.
75,If you had li@@ st@@ en@@ ed to me before you p@@ us@@ h@@ ed of@@ f C@@ re@@ t@@ e.,N@@ aal@@ aàni@@ gu@@ psit@@ äa ay@@ a@@ su@@ äaq@@ a@@ si C@@ r@@ e@@ t@@ e@@ -@@ miñ@@ .
76,"If you are really the son of Go@@ d, j@@ u@@ m@@ p of@@ f@@ !",I@@ à@@ ñià@@ i@@ pi@@ aqpa@@ tin Agaayyutim n@@ uti@@ giaà@@ iñ.
77,R@@ ac@@ he@@ l c@@ ried for her [@@ ow@@ n@@ ] children.,R@@ a@@ ch@@ e@@ l@@ -@@ ä@@ um qi@@ ani@@ à@@ ai qitunà@@ aur@@ ani.
78,C@@ oun@@ t the n@@ u@@ mber of those who are pra@@ ying there.,K@@ isi@@ áá@@ u@@ gi@@ ch iñu@@ gi@@ akti@@ laa@@ ä@@ at taa@@ pkua agaayu@@ ru@@ at tar@@ ani.
79,Why are they working to@@ da@@ y@@ ?,Suvaata iliä@@ ich sav@@ ak@@ pa@@ t ug@@ lu@@ vak@@ ?
80,He ta@@ u@@ ght by me@@ ans of par@@ ab@@ le@@ s.,I@@ laan iái@@ sauti@@ niàai at@@ r@@ ik@@ u@@ sauti@@ tig@@ un.
81,He who has will rece@@ ive m@@ or@@ e.,I@@ la@@ a piq@@ aqtuaq akuqtu@@ ll@@ aaà@@ isi@@ ruq.
82,"It is I@@ , don't be af@@ ra@@ i@@ d.","Uv@@ aä@@ auru@@ äa@@ , iq@@ siñ@@ a@@ si."
83,How will we rec@@ o@@ g@@ ni@@ z@@ e when all of those [@@ thing@@ s@@ ] are be@@ g@@ in@@ ning to happen@@ ?,Iá@@ itchu@@ à@@ ig@@ isi@@ vi@@ s@@ a iluq@@ aà@@ mi@@ ä tamatkua atuuma@@ aqsi@@ k@@ p@@ at@@ a?
84,"Th@@ rough his d@@ ea@@ th@@ , he rec@@ on@@ c@@ il@@ ed bo@@ th of them with God.",Tuq@@ u@@ âiàmi@@ gun iá@@ auraaà@@ i@@ ik@@ si@@ tlu@@ gik i@@ lu@@ qa@@ aknik Agaayyu@@ t@@ mun.
85,When we all were b@@ a@@ p@@ ti@@ z@@ ed,Ilu@@ qapta pa@@ p@@ ta@@ akk@@ auka@@ p@@ ta
86,"If your whole body is light, without any part being dark","Iluqani timin qaummaaàikpan, iáaäa taaqtuamiisuäaqani"
87,E@@ ach of you w@@ ould l@@ oo@@ se@@ n his d@@ on@@ ke@@ y from his place on the day of re@@ st@@ .,Ilu@@ qap@@ si pi@@ tu@@ ià@@ ay@@ aàaa nat@@ mak@@ ti@@ ni i@@ naa@@ niñ minà@@ u@@ iqsi@@ aàvi@@ um uvlu@@ ani.
88,He will h@@ on@@ or you in f@@ r@@ on@@ t of all the on@@ es who were in@@ vi@@ ted.,K@@ am@@ ag@@ ig@@ isig@@ aa@@ tin sivu@@ à@@ aat@@ ni iluq@@ ati@@ ä ai@@ yug@@ a@@ akk@@ auru@@ at.
89,S@@ ome of them have come from af@@ ar@@ .,Iá@@ aä@@ ich agg@@ ià@@ ñ@@ iqsu@@ t uäa@@ si@@ k@@ su@@ ami@@ ñ.
90,If any person te@@ mp@@ ts any of these to si@@ n,Ki@@ a iñu@@ um ki@@ l@@ luq@@ s@@ aqu@@ sa@@ aqpa@@ gu iáaä@@ at mak@@ ua
91,"If your whole body is light, without any part being dark","Iluqani timin qaummaaàikpan, iáaäa taaqtuamiisuäaqani"
92,R@@ i@@ ght here among you si@@ tting with me the one who is going to give me a@@ way.,Iáa@@ psi@@ -@@ s@@ amma aqu@@ p@@ piq@@ ati@@ ma qa@@ iññ@@ iaà@@ aa@@ äa.
93,On@@ ly the F@@ a@@ ther de@@ ci@@ d@@ es the time of its happen@@ ing.,A@@ a@@ pa@@ a kisi@@ mi si@@ v@@ un@@ nià@@ isigaa q@@ ak@@ ugu@@ n atuuma@@ â@@ iksr@@ aäa.
94,You are not going to be f@@ ree ex@@ cep@@ t i@@ f you p@@ ay what you o@@ we to him.,A@@ ni@@ yu@@ miñ@@ ai@@ pi@@ aqtu@@ tin kisi@@ ani@@ k ak@@ iái@@ ig@@ uvich ak@@ iq@@ sru@@ uti@@ p@@ nik i@@ laa@@ n@@ un.
95,If you love only those who love you.,Piq@@ pa@@ gi@@ gu@@ psi@@ gik kisi@@ it@@ ñik tamatkua piq@@ pak@@ sri@@ g@@ ik@@ ka@@ si.
96,The disci@@ pl@@ es came to Jesus pri@@ v@@ a@@ te@@ ly and asked him,Maliàu@@ aqta@@ iñ utl@@ aä@@ nià@@ aat Jesus kisip@@ q@@ uq@@ hutiä a@@ piq@@ sru@@ q@@ âu@@ gu
97,H@@ ere is your coffe@@ e.,Uv@@ va kuukpi@@ aksr@@ an@@ .
98,Please place my ho@@ t be@@ ver@@ a@@ ge right here.,Uv@@ uäa iá@@ iá@@ lau@@ ä yu@@ uq@@ aksr@@ aàa.
99,Please bring your se@@ w@@ ing pro@@ j@@ e@@ ct over here.,Uv@@ uäauti@@ llaguä taa@@ mna ki@@ ll@@ ai@@ yaa@@ n.
100,"That one is my s@@ on@@ , who is sm@@ ar@@ t.",Tavr@@ ataa@@ mna ià@@ ñià@@ a p@@ uq@@ ik@@ su@@ aq.
101,F@@ rom there he went to S@@ i@@ su@@ al@@ i@@ k.,Tavr@@ akäa aull@@ aqtuq S@@ isu@@ al@@ iä@@ mun.
102,Don't trave@@ l through that sha@@ l@@ low water.,Ik@@ k@@ atu@@ akun t@@ av@@ ru@@ un@@ aaà@@ niaà@@ itchi@@ .
103,This child is qui@@ te acti@@ ve again around here.,M@@ ar@@ ra m@@ anna iñ@@ unäun@@ algitchuq.
104,The boat is coming in this di@@ rec@@ ti@@ on.,U@@ mi@@ aq mauä@@ atm@@ un aggiqsaaqtuq.
105,I f@@ ind li@@ ving here to be war@@ m.,M@@ aani iñuuniaqtu@@ ni it@@ ra@@ iñiqsuq.
106,One can hea@@ r the s@@ ound of the big boat in the di@@ stan@@ c@@ e.,I@@ mma tusr@@ aàn@@ aqsi@@ aqsiruq umi@@ aq@@ pak@@ .
107,"Re@@ me@@ m@@ ber@@ , you said that at the t@@ ri@@ a@@ l at that time.",Uq@@ aà@@ ugu@@ uti@@ n im@@ ani uq@@ aqsi@@ ta@@ aq@@ mat@@ a.
108,It has been getting c@@ old for a long time.,T@@ ai@@ m@@ akäaq@@ aä@@ a it@@ r@@ iá@@ iàu@@ uniqsu@@ aq.
109,The door@@ ke@@ ep@@ er is standing near the entranc@@ e.,Ug@@ ga ta@@ lu@@ liq@@ ir@@ i qich@@ aqtuq.
110,When we entered we always st@@ ood near the door.,Taugg@@ ani isi@@ qapta qich@@ aà@@ aqtugut.
111,He walked up from near the entranc@@ e to s@@ ing.,Taugg@@ akäaqsa@@ aqtuq atu@@ ài@@ aqhuni.
112,Someone coming in is making noise in the ent@@ r@@ y@@ way.,S@@ akma isià@@ ni@@ aqtuaq iñ@@ uk@@ srularuq.
113,T@@ a@@ ke the seal o@@ il out into the stor@@ m ent@@ ry.,Sakm@@ uäa ani@@ llaguä uq@@ sru@@ q.
114,Someone is knocking re@@ p@@ ea@@ te@@ d@@ ly on the door out there.,Sakm@@ ani s@@ akma katch@@ ala@@ ruq.
115,That one across there wants to come to this side.,Ik@@ ka it@@ ña ik@@ aaà@@ uk@@ tuq.
116,He worked h@@ ar@@ d@@ /@@ long to go across the river.,I@@ tch@@ uäatm@@ uä@@ niaà@@ at@@ aà@@ niqsu@@ q@@ tar@@ r@@ a.
117,My grandmother li@@ ved across the river.,A@@ an@@ aga itch@@ aniaä@@ ani iñuuniaqtu@@ à@@ li@@ .
118,The pupp@@ i@@ es are run@@ ning around across there.,Ag@@ ga qipmiur@@ at pa@@ ä@@ al@@ ik@@ kat@@ aur@@ aqtut.
119,He sa@@ un@@ tered across to the other side.,A@@ uäaq@@ s@@ aaà@@ ura@@ aqtuq suka@@ iái@@ p@@ áuni.
120,He is walking on the trail on the o@@ pp@@ o@@ si@@ te side.,T@@ umi@@ tch@@ aur@@ akun a@@ unna@@ aq@@ saaqtuq.
121,The children m@@ ust have gone to pl@@ ay across there.,Ak@@ ma iá@@ aa@@ lugru@@ ich anni@@ iqs@@ au@@ à@@ iaà@@ uk@@ naqtut.
122,They have come from the s@@ ch@@ oo@@ l that is across there.,Ak@@ m@@ akäa ag@@ l@@ ag@@ viä@@ mi@@ ñ ik@@ aal@@ giññ@@ iqsut.
123,"D@@ a@@ u@@ gh@@ ter@@ , di@@ d you come from across there by you@@ r@@ self@@ ?","Pani@@ iä@@ , akm@@ akäaq@@ pich kisi@@ vich?"
124,I wonder who that visit@@ or is over there.,Kisu@@ uniq@@ pa@@ -tai iñña ig@@ la@@ aq.
125,"My de@@ ar@@ , pl@@ ea@@ se bring my berries from right over there.","I@@ iyaa@@ ä@@ , iñakä@@ auti@@ lau@@ ä@@ -@@ tuq asri@@ aksr@@ auti@@ ga"
126,He entered right th@@ ou@@ gh there.,I@@ si@@ llak@@ tuq iñu@@ un@@ a.
127,He is walking to the stor@@ e over there.,A@@ vva pisruktu@@ aqtuq tauqsiàñiaàviä@@ mun.
128,The c@@ ou@@ ple is making its way from over there.,T@@ uv@@ aaq@@ atigi@@ i@@ k av@@ akäaqsa@@ aqtu@@ aà@@ ura@@ aq@@ nià@@ su@@ k.
129,I a@@ m going on a sh@@ or@@ t visi@@ t over there.,A@@ v@@ uäaq@@ ataa@@ llak@@ sa@@ aqsiru@@ äa.
130,They are singing in the chur@@ ch over there.,A@@ mma agaayy@@ uv@@ iä@@ mi atu@@ uraaqtut.
131,Did you just come from over there?,A@@ m@@ akä@@ aqti@@ qpi@@ ch@@ uv@@ v@@ a.
132,B@@ ring this fish over there.,Qalu@@ k una am@@ uäauti@@ uä!
133,D@@ o you see the caribou back there?,Qiñ@@ iqpi@@ uä tut@@ t@@ u piññ@@ a?
134,He came qu@@ ickly from over there.,Q@@ il@@ ak@@ mik p@@ iñakä@@ aqtiqtuq.
135,Don't cli@@ m@@ b through back there.,P@@ iñu@@ una mayuà@@ ni@@ aqnak.
136,The caribou are coming back there.,Pav@@ va tut@@ tu@@ t aggi@@ aqsiñ@@ iqsut.
137,The m@@ oo@@ se ma@@ y have gone through back there.,T@@ i@@ ni@@ ik@@ aq pa@@ vu@@ unna@@ aqpaluk@@ tuq.
138,B@@ er@@ ries are back there in certa@@ in sp@@ o@@ ts.,A@@ sri@@ at@@ -@@ gu@@ uq pam@@ ma pa@@ v@@ ani.
139,One can ent@@ er through the bac@@ k.,I@@ sià@@ n@@ aqtuq pam@@ aniaä@@ agun.
140,"A@@ f@@ ter ca@@ t@@ ching fi@@ sh@@ , he came from back there.",Qalu@@ äniaq@@ qa@@ aq@@ huni pamakä@@ aà@@ niqsuq.
141,They brought the d@@ ried fish from back there.,Pani@@ ktut pamakä@@ aut@@ l@@ ià@@ niàaich.
142,The pa@@ st@@ or is p@@ reach@@ ing inside.,Ki@@ vva agaayu@@ liq@@ si qu@@ li@@ aqtu@@ aqtuq.
143,"When they ce@@ le@@ b@@ ra@@ te Christma@@ s, the tree is way inside.",Agaayu@@ niq@@ pakm@@ at@@ a napaaqtuq ki@@ v@@ ani@@ it@@ t@@ aqtuq.
144,A man r@@ ac@@ ing with a dog t@@ ea@@ m is coming from upriver.,Qav@@ va uni@@ aà@@ aq@@ autr@@ aqtuaq aggiqsaaqtuq.
145,V@@ i@@ si@@ tors are coming from upriver.,I@@ g@@ laa@@ t qav@@ akäaqsa@@ aqtut.
146,People are de@@ c@@ or@@ a@@ ting inside d@@ ur@@ ing Christma@@ s.,P@@ iññ@@ aqu@@ sriqsu@@ à@@ aat qav@@ uuna agaayu@@ niq@@ pa@@ âiàmi@@ .
147,"The old woman is cooking in@@ sid@@ e@@ , they sai@@ d.",Qam@@ mag@@ uu@@ q a@@ aqu@@ aksr@@ aatch@@ auraq nik@@ ni@@ aqtuq.
148,Perhaps her h@@ us@@ b@@ and is inside t@@ oo@@ .,Qam@@ ani aä@@ ut@@ aat it@@ paluk@@ miuq.
149,Did you just come from in there?,T@@ atq@@ am@@ akäaq@@ ami@@ qpi@@ ch?
150,The little ra@@ b@@ bi@@ t is ea@@ ting out there.,Kig@@ ga uk@@ alli@@ ur@@ aq niài@@ ur@@ aqtuq.
151,Please take my s@@ ac@@ k to the outside.,Ki@@ uäa anni@@ si@@ ll@@ au@@ ä pu@@ uk@@ at@@ aàa.
152,They are tal@@ king to each other out there.,Uq@@ q@@ aaà@@ ir@@ algitchu@@ k ki@@ ani.
153,People are b@@ us@@ y again out there.,Q@@ agga iñu@@ ich ittu@@ anà@@ iá@@ gitchu@@ t.
154,The bir@@ ds are visi@@ b@@ le out there.,T@@ at@@ qaa@@ ni tiämiur@@ at tautu@@ än@@ aàu@@ uniqsu@@ t.
155,It appears that he walked through de@@ e@@ p snow out there.,Qa@@ una mau@@ g@@ all@@ aä@@ niqsuq.
156,She heard foo@@ t@@ ste@@ ps c@@ run@@ ching in the snow outside.,Q@@ akma q@@ ik@@ ià@@ aqpaluk@@ t@@ aqtuaq tusr@@ aaà@@ aa.
157,Get fi@@ re@@ w@@ ood from outside.,Q@@ akm@@ akäa qi@@ r@@ ru@@ k@@ si@@ áá@@ ag@@ in.
158,L@@ ook at that in@@ se@@ ct down there.,Kanna qu@@ pi@@ l@@ àu@@ q aatch@@ ig@@ aa@@ ä@@ !
159,Someone t@@ ook my ber@@ r@@ y b@@ as@@ k@@ et down there.,K@@ an@@ uäauti@@ g@@ aa ai@@ mm@@ aà@@ aa.
160,He sho@@ wed up through down there.,T@@ ak@@ an@@ uuna nu@@ i@@ s@@ aa@@ llak@@ tuq.
161,One can see seal h@@ unters down there.,Unna n@@ atch@@ iàñi@@ aqtu@@ at q@@ iñ@@ ià@@ naqtut.
162,H@@ unters for be@@ ar@@ ded seal are trave@@ l@@ ing to@@ w@@ ard the o@@ ce@@ an.,Ug@@ ru@@ äni@@ aqtit un@@ uäatm@@ uk@@ sa@@ aqtut.
163,They are playing down there.,Ta@@ unani aà@@ ài@@ un@@ aqtut.
164,That one down there wants to go upriver al@@ read@@ y.,S@@ amma s@@ amna qav@@ uä@@ aàu@@ li@@ ani@@ á@@ gitchuq.
165,They in@@ su@@ la@@ te under the house.,S@@ am@@ akä@@ aa@@ niñ tupi@@ q uq@@ uq@@ s@@ aà@@ aa@@ t.
166,I wonder where the fly up there came f@@ ro@@ m.,Pik@@ ka nuvii@@ v@@ a@@ k nak@@ ik@@ ä@@ atai nu@@ iá@@ giññ@@ iqsuq.
167,Perhaps it came in through the st@@ o@@ ve@@ p@@ i@@ p@@ e from up there.,Pik@@ akäa pu@@ yuà@@ v@@ ik@@ k@@ un isi@@ q@@ paluk@@ tuq.
168,"That big fly is b@@ u@@ z@@ zing around up there@@ , to my dis@@ ma@@ y.","P@@ agga nuvii@@ vak@@ pa@@ k tiämi@@ raq@@ at@@ aqtu@@ q@@ , n@@ an@@ aa."
169,The big plan@@ es always fly way up hi@@ gh@@ .,Tiä@@ mi@@ su@@ uti@@ q@@ pa@@ ich pa@@ una tiämiur@@ aaà@@ uu@@ ru@@ t.
